"","instanceID","wallTime","transactions","set","vmID"
"163","i-075927050a1a8a230",60.3974421024323,52355,1,16
"164","i-075927050a1a8a230",60.2353267669678,62181,1,16
"165","i-075927050a1a8a230",60.2171759605408,62119,1,16
"166","i-075927050a1a8a230",60.2191708087921,64128,2,16
"167","i-075927050a1a8a230",60.219229221344,64387,2,16
"168","i-075927050a1a8a230",60.2114355564117,64099,2,16
"169","i-075927050a1a8a230",60.2661626338959,64484,3,16
"170","i-075927050a1a8a230",60.2147045135498,64496,3,16
"171","i-075927050a1a8a230",60.2467114925385,46728,3,16
"172","i-075927050a1a8a230",60.2280895709991,66545,4,16
"173","i-075927050a1a8a230",60.1724698543549,66667,4,16
"174","i-075927050a1a8a230",60.1733663082123,66706,4,16
"175","i-075927050a1a8a230",60.2284214496613,67274,5,16
"176","i-075927050a1a8a230",60.1931781768799,66557,5,16
"177","i-075927050a1a8a230",60.2095675468445,66611,5,16
"178","i-075927050a1a8a230",60.2784597873688,66030,6,16
"179","i-075927050a1a8a230",60.2314364910126,65545,6,16
"180","i-075927050a1a8a230",60.2020652294159,65202,6,16
"181","i-075927050a1a8a230",60.2757244110107,65184,7,16
"182","i-075927050a1a8a230",60.2513053417206,65142,7,16
"183","i-075927050a1a8a230",60.2377953529358,65634,7,16
"184","i-075927050a1a8a230",60.22696352005,65210,8,16
"185","i-075927050a1a8a230",60.2083625793457,65990,8,16
"186","i-075927050a1a8a230",60.2113642692566,65300,8,16
"187","i-075927050a1a8a230",60.3026969432831,65345,9,16
"188","i-075927050a1a8a230",60.2118971347809,65470,9,16
"189","i-075927050a1a8a230",60.1861867904663,65203,9,16
"190","i-075927050a1a8a230",60.3237307071686,65903,10,16
"191","i-075927050a1a8a230",60.2100467681885,64414,10,16
"192","i-075927050a1a8a230",60.2165725231171,64645,10,16
"193","i-075927050a1a8a230",60.2793576717377,65612,11,16
"194","i-075927050a1a8a230",60.2459576129913,65412,11,16
"195","i-075927050a1a8a230",60.2258410453796,64966,11,16
"196","i-075927050a1a8a230",60.304790019989,64634,12,16
"197","i-075927050a1a8a230",60.2159898281097,65240,12,16
"198","i-075927050a1a8a230",60.2559094429016,64513,12,16
"199","i-075927050a1a8a230",60.382746219635,61251,13,16
"200","i-075927050a1a8a230",60.2860081195831,59176,13,16
"201","i-075927050a1a8a230",60.3017156124115,60891,13,16
"202","i-075927050a1a8a230",60.4328856468201,49543,14,16
"203","i-075927050a1a8a230",60.3762874603271,53808,14,16
"204","i-075927050a1a8a230",60.3582146167755,50968,14,16
"205","i-075927050a1a8a230",60.3480215072632,51774,15,16
"206","i-075927050a1a8a230",60.3999707698822,51427,15,16
"207","i-075927050a1a8a230",60.3003611564636,46430,15,16
"208","i-075927050a1a8a230",60.3742136955261,52623,16,16
"209","i-075927050a1a8a230",60.3726160526276,43319,16,16
"210","i-075927050a1a8a230",60.300509929657,51309,16,16
"337","i-07c7612d4724d24f0",60.313444852829,65035,2,15
"338","i-07c7612d4724d24f0",60.179881811142,64707,2,15
"339","i-07c7612d4724d24f0",60.1692478656769,65208,2,15
"340","i-07c7612d4724d24f0",60.2423620223999,64835,3,15
"341","i-07c7612d4724d24f0",60.1887259483337,65062,3,15
"342","i-07c7612d4724d24f0",60.1743688583374,45546,3,15
"343","i-07c7612d4724d24f0",60.2800388336182,65649,4,15
"344","i-07c7612d4724d24f0",60.1857895851135,65855,4,15
"345","i-07c7612d4724d24f0",60.17786860466,66397,4,15
"346","i-07c7612d4724d24f0",60.2224888801575,66691,5,15
"347","i-07c7612d4724d24f0",60.1786596775055,66403,5,15
"348","i-07c7612d4724d24f0",60.1916160583496,65890,5,15
"349","i-07c7612d4724d24f0",60.2684469223022,64604,6,15
"350","i-07c7612d4724d24f0",60.2721457481384,64761,6,15
"351","i-07c7612d4724d24f0",60.2430255413055,64124,6,15
"352","i-07c7612d4724d24f0",60.3855295181274,64083,7,15
"353","i-07c7612d4724d24f0",60.3055267333984,63492,7,15
"354","i-07c7612d4724d24f0",60.2981469631195,64772,7,15
"355","i-07c7612d4724d24f0",60.3048615455627,64455,8,15
"356","i-07c7612d4724d24f0",60.2356562614441,65605,8,15
"357","i-07c7612d4724d24f0",60.2167103290558,64134,8,15
"358","i-07c7612d4724d24f0",60.2591316699982,65100,9,15
"359","i-07c7612d4724d24f0",60.2165906429291,64343,9,15
"360","i-07c7612d4724d24f0",60.1970255374908,64460,9,15
"361","i-07c7612d4724d24f0",60.3153119087219,64967,10,15
"362","i-07c7612d4724d24f0",60.2040255069733,64362,10,15
"363","i-07c7612d4724d24f0",60.197151184082,64767,10,15
"364","i-07c7612d4724d24f0",60.2784285545349,65886,11,15
"365","i-07c7612d4724d24f0",60.2272732257843,65108,11,15
"366","i-07c7612d4724d24f0",60.2052054405212,64725,11,15
"367","i-07c7612d4724d24f0",60.3255922794342,64178,12,15
"368","i-07c7612d4724d24f0",60.2087132930756,64253,12,15
"369","i-07c7612d4724d24f0",60.2351715564728,63579,12,15
"370","i-07c7612d4724d24f0",60.2866611480713,59899,13,15
"371","i-07c7612d4724d24f0",60.3443627357483,59569,13,15
"372","i-07c7612d4724d24f0",60.3202414512634,60191,13,15
"373","i-07c7612d4724d24f0",60.4134955406189,48193,14,15
"374","i-07c7612d4724d24f0",60.3945667743683,53200,14,15
"375","i-07c7612d4724d24f0",60.3473632335663,50254,14,15
"376","i-07c7612d4724d24f0",60.4536256790161,51498,15,15
"377","i-07c7612d4724d24f0",60.4782538414001,49984,15,15
"378","i-07c7612d4724d24f0",60.3900589942932,46073,15,15
"379","i-07c7612d4724d24f0",60.3516306877136,51621,16,15
"380","i-07c7612d4724d24f0",60.4379630088806,42401,16,15
"381","i-07c7612d4724d24f0",60.3671672344208,48812,16,15
"1","i-0b44fa417abbf60e9",60.2735249996185,64577,3,14
"2","i-0b44fa417abbf60e9",60.172908782959,63731,3,14
"3","i-0b44fa417abbf60e9",60.1868331432343,44385,3,14
"4","i-0b44fa417abbf60e9",60.2311573028564,65177,4,14
"5","i-0b44fa417abbf60e9",60.2090971469879,65517,4,14
"6","i-0b44fa417abbf60e9",60.1797852516174,65722,4,14
"7","i-0b44fa417abbf60e9",60.2416207790375,66484,5,14
"8","i-0b44fa417abbf60e9",60.2093751430511,65687,5,14
"9","i-0b44fa417abbf60e9",60.1954004764557,65791,5,14
"10","i-0b44fa417abbf60e9",60.22873711586,63986,6,14
"11","i-0b44fa417abbf60e9",60.1967670917511,64485,6,14
"12","i-0b44fa417abbf60e9",60.2053682804108,63303,6,14
"13","i-0b44fa417abbf60e9",60.3157587051392,63477,7,14
"14","i-0b44fa417abbf60e9",60.2614645957947,64101,7,14
"15","i-0b44fa417abbf60e9",60.2368595600128,63599,7,14
"16","i-0b44fa417abbf60e9",60.2774906158447,64045,8,14
"17","i-0b44fa417abbf60e9",60.2137942314148,64574,8,14
"18","i-0b44fa417abbf60e9",60.2087407112122,65062,8,14
"19","i-0b44fa417abbf60e9",60.2287306785583,64430,9,14
"20","i-0b44fa417abbf60e9",60.2098369598389,64501,9,14
"21","i-0b44fa417abbf60e9",60.1917955875397,64662,9,14
"22","i-0b44fa417abbf60e9",60.2992885112762,64640,10,14
"23","i-0b44fa417abbf60e9",60.2240922451019,63615,10,14
"24","i-0b44fa417abbf60e9",60.2171452045441,63058,10,14
"25","i-0b44fa417abbf60e9",60.2530009746552,64884,11,14
"26","i-0b44fa417abbf60e9",60.2932229042053,64645,11,14
"27","i-0b44fa417abbf60e9",60.242650270462,62371,11,14
"28","i-0b44fa417abbf60e9",60.3308532238007,62726,12,14
"29","i-0b44fa417abbf60e9",60.2238712310791,63862,12,14
"30","i-0b44fa417abbf60e9",60.249231338501,62941,12,14
"31","i-0b44fa417abbf60e9",60.2939054965973,60278,13,14
"32","i-0b44fa417abbf60e9",60.3051478862762,58273,13,14
"33","i-0b44fa417abbf60e9",60.2886583805084,58125,13,14
"34","i-0b44fa417abbf60e9",60.4572386741638,47979,14,14
"35","i-0b44fa417abbf60e9",60.2987062931061,50839,14,14
"36","i-0b44fa417abbf60e9",60.3626608848572,50128,14,14
"37","i-0b44fa417abbf60e9",60.4057080745697,50197,15,14
"38","i-0b44fa417abbf60e9",60.4222433567047,49776,15,14
"39","i-0b44fa417abbf60e9",60.3193669319153,45065,15,14
"40","i-0b44fa417abbf60e9",60.4050710201263,50949,16,14
"41","i-0b44fa417abbf60e9",60.3722190856934,41835,16,14
"42","i-0b44fa417abbf60e9",60.3939182758331,49065,16,14
"289","i-0567b6b216d82a1e9",60.2905902862549,62795,4,13
"290","i-0567b6b216d82a1e9",60.17982172966,62308,4,13
"291","i-0567b6b216d82a1e9",60.1738731861115,62746,4,13
"292","i-0567b6b216d82a1e9",60.2441079616547,63699,5,13
"293","i-0567b6b216d82a1e9",60.1823470592499,62863,5,13
"294","i-0567b6b216d82a1e9",60.1802699565887,62533,5,13
"295","i-0567b6b216d82a1e9",60.2725434303284,62341,6,13
"296","i-0567b6b216d82a1e9",60.2265002727509,62411,6,13
"297","i-0567b6b216d82a1e9",60.1902210712433,62071,6,13
"298","i-0567b6b216d82a1e9",60.2785995006561,62239,7,13
"299","i-0567b6b216d82a1e9",60.2390334606171,61014,7,13
"300","i-0567b6b216d82a1e9",60.2672781944275,62587,7,13
"301","i-0567b6b216d82a1e9",60.2757959365845,61891,8,13
"302","i-0567b6b216d82a1e9",60.2087464332581,63267,8,13
"303","i-0567b6b216d82a1e9",60.2206537723541,62790,8,13
"304","i-0567b6b216d82a1e9",60.1996648311615,62322,9,13
"305","i-0567b6b216d82a1e9",60.1877722740173,62581,9,13
"306","i-0567b6b216d82a1e9",60.1915638446808,61934,9,13
"307","i-0567b6b216d82a1e9",60.2362744808197,62703,10,13
"308","i-0567b6b216d82a1e9",60.2094268798828,62277,10,13
"309","i-0567b6b216d82a1e9",60.200145483017,62616,10,13
"310","i-0567b6b216d82a1e9",60.2693667411804,62643,11,13
"311","i-0567b6b216d82a1e9",60.2135593891144,62044,11,13
"312","i-0567b6b216d82a1e9",60.1961784362793,61714,11,13
"313","i-0567b6b216d82a1e9",60.2769975662231,61180,12,13
"314","i-0567b6b216d82a1e9",60.2420847415924,62598,12,13
"315","i-0567b6b216d82a1e9",60.264396905899,61377,12,13
"316","i-0567b6b216d82a1e9",60.3106274604797,58867,13,13
"317","i-0567b6b216d82a1e9",60.2695288658142,57458,13,13
"318","i-0567b6b216d82a1e9",60.3114762306213,57396,13,13
"319","i-0567b6b216d82a1e9",60.4684734344482,46950,14,13
"320","i-0567b6b216d82a1e9",60.3110041618347,51758,14,13
"321","i-0567b6b216d82a1e9",60.2674813270569,49261,14,13
"322","i-0567b6b216d82a1e9",60.4979686737061,50174,15,13
"323","i-0567b6b216d82a1e9",60.2777807712555,49915,15,13
"324","i-0567b6b216d82a1e9",60.2483410835266,44909,15,13
"325","i-0567b6b216d82a1e9",60.3437609672546,51343,16,13
"326","i-0567b6b216d82a1e9",60.4281404018402,41474,16,13
"327","i-0567b6b216d82a1e9",60.3108623027802,48297,16,13
"73","i-04e4af4c00488f193",60.3149514198303,65409,5,12
"74","i-04e4af4c00488f193",60.2455298900604,65103,5,12
"75","i-04e4af4c00488f193",60.1725187301636,65257,5,12
"76","i-04e4af4c00488f193",60.2097883224487,66137,6,12
"77","i-04e4af4c00488f193",60.1928420066833,65392,6,12
"78","i-04e4af4c00488f193",60.1736283302307,65533,6,12
"79","i-04e4af4c00488f193",60.2476007938385,65826,7,12
"80","i-04e4af4c00488f193",60.218585729599,65232,7,12
"81","i-04e4af4c00488f193",60.2154824733734,65556,7,12
"82","i-04e4af4c00488f193",60.2274131774902,65269,8,12
"83","i-04e4af4c00488f193",60.1989743709564,65363,8,12
"84","i-04e4af4c00488f193",60.2090775966644,65743,8,12
"85","i-04e4af4c00488f193",60.235023021698,65102,9,12
"86","i-04e4af4c00488f193",60.1840507984161,65218,9,12
"87","i-04e4af4c00488f193",60.1956536769867,64902,9,12
"88","i-04e4af4c00488f193",60.2059423923492,65367,10,12
"89","i-04e4af4c00488f193",60.203179359436,65433,10,12
"90","i-04e4af4c00488f193",60.177886724472,65375,10,12
"91","i-04e4af4c00488f193",60.2759401798248,64450,11,12
"92","i-04e4af4c00488f193",60.2156250476837,64277,11,12
"93","i-04e4af4c00488f193",60.1935575008392,64940,11,12
"94","i-04e4af4c00488f193",60.2905652523041,64792,12,12
"95","i-04e4af4c00488f193",60.2186152935028,64502,12,12
"96","i-04e4af4c00488f193",60.1823291778564,64408,12,12
"97","i-04e4af4c00488f193",60.2685258388519,63390,13,12
"98","i-04e4af4c00488f193",60.2175838947296,63055,13,12
"99","i-04e4af4c00488f193",60.2218782901764,63211,13,12
"100","i-04e4af4c00488f193",60.2897877693176,60216,14,12
"101","i-04e4af4c00488f193",60.2717638015747,61465,14,12
"102","i-04e4af4c00488f193",60.243750333786,60939,14,12
"103","i-04e4af4c00488f193",60.3245227336884,60982,15,12
"104","i-04e4af4c00488f193",60.2802727222443,60387,15,12
"105","i-04e4af4c00488f193",60.2443525791168,59182,15,12
"106","i-04e4af4c00488f193",60.2967534065247,61206,16,12
"107","i-04e4af4c00488f193",60.2797565460205,57485,16,12
"108","i-04e4af4c00488f193",60.235805273056,59695,16,12
"247","i-09f2cbcb7dfd99003",60.3196561336517,64995,6,11
"248","i-09f2cbcb7dfd99003",60.2520956993103,64954,6,11
"249","i-09f2cbcb7dfd99003",60.1904585361481,63738,6,11
"250","i-09f2cbcb7dfd99003",60.2273223400116,65088,7,11
"251","i-09f2cbcb7dfd99003",60.2738969326019,63361,7,11
"252","i-09f2cbcb7dfd99003",60.2055859565735,64391,7,11
"253","i-09f2cbcb7dfd99003",60.3084361553192,64493,8,11
"254","i-09f2cbcb7dfd99003",60.1956675052643,65644,8,11
"255","i-09f2cbcb7dfd99003",60.1872053146362,64762,8,11
"256","i-09f2cbcb7dfd99003",60.2452380657196,64079,9,11
"257","i-09f2cbcb7dfd99003",60.2543163299561,63767,9,11
"258","i-09f2cbcb7dfd99003",60.2204849720001,64551,9,11
"259","i-09f2cbcb7dfd99003",60.3325178623199,64110,10,11
"260","i-09f2cbcb7dfd99003",60.2225849628448,64205,10,11
"261","i-09f2cbcb7dfd99003",60.1940598487854,64151,10,11
"262","i-09f2cbcb7dfd99003",60.2789313793182,64827,11,11
"263","i-09f2cbcb7dfd99003",60.2733073234558,63867,11,11
"264","i-09f2cbcb7dfd99003",60.2335228919983,63060,11,11
"265","i-09f2cbcb7dfd99003",60.2971985340118,63332,12,11
"266","i-09f2cbcb7dfd99003",60.2533867359161,64413,12,11
"267","i-09f2cbcb7dfd99003",60.2341492176056,62779,12,11
"268","i-09f2cbcb7dfd99003",60.2963328361511,59950,13,11
"269","i-09f2cbcb7dfd99003",60.3024768829346,59068,13,11
"270","i-09f2cbcb7dfd99003",60.3345153331757,59273,13,11
"271","i-09f2cbcb7dfd99003",60.4472298622131,48098,14,11
"272","i-09f2cbcb7dfd99003",60.3435068130493,52908,14,11
"273","i-09f2cbcb7dfd99003",60.3554122447968,50496,14,11
"274","i-09f2cbcb7dfd99003",60.3709955215454,50585,15,11
"275","i-09f2cbcb7dfd99003",60.3817138671875,49804,15,11
"276","i-09f2cbcb7dfd99003",60.3507208824158,45039,15,11
"277","i-09f2cbcb7dfd99003",60.3852605819702,51658,16,11
"278","i-09f2cbcb7dfd99003",60.4058063030243,42197,16,11
"279","i-09f2cbcb7dfd99003",60.341301202774,50675,16,11
"43","i-0c9520177594c4838",60.3934254646301,63868,7,10
"44","i-0c9520177594c4838",60.1947174072266,63860,7,10
"45","i-0c9520177594c4838",60.1849753856659,64211,7,10
"46","i-0c9520177594c4838",60.263961315155,63863,8,10
"47","i-0c9520177594c4838",60.1993546485901,64208,8,10
"48","i-0c9520177594c4838",60.2125384807587,63779,8,10
"49","i-0c9520177594c4838",60.2381904125214,64005,9,10
"50","i-0c9520177594c4838",60.1824948787689,63754,9,10
"51","i-0c9520177594c4838",60.1716237068176,64341,9,10
"52","i-0c9520177594c4838",60.2416272163391,63519,10,10
"53","i-0c9520177594c4838",60.1742601394653,63321,10,10
"54","i-0c9520177594c4838",60.1754858493805,62293,10,10
"55","i-0c9520177594c4838",60.2181305885315,63389,11,10
"56","i-0c9520177594c4838",60.2085237503052,63453,11,10
"57","i-0c9520177594c4838",60.1708886623383,61986,11,10
"58","i-0c9520177594c4838",60.2560379505157,60698,12,10
"59","i-0c9520177594c4838",60.2018496990204,61852,12,10
"60","i-0c9520177594c4838",60.1925013065338,61937,12,10
"61","i-0c9520177594c4838",60.2332544326782,62083,13,10
"62","i-0c9520177594c4838",60.2112677097321,62651,13,10
"63","i-0c9520177594c4838",60.1909832954407,62058,13,10
"64","i-0c9520177594c4838",60.3266034126282,60869,14,10
"65","i-0c9520177594c4838",60.1998150348663,62728,14,10
"66","i-0c9520177594c4838",60.2114274501801,62678,14,10
"67","i-0c9520177594c4838",60.2284255027771,61616,15,10
"68","i-0c9520177594c4838",60.231826543808,61687,15,10
"69","i-0c9520177594c4838",60.2506453990936,60859,15,10
"70","i-0c9520177594c4838",60.2773535251617,60399,16,10
"71","i-0c9520177594c4838",60.2606461048126,59100,16,10
"72","i-0c9520177594c4838",60.2625873088837,60452,16,10
"382","i-02095124b852e65e8",60.3042683601379,65559,8,9
"383","i-02095124b852e65e8",60.1974248886108,66102,8,9
"384","i-02095124b852e65e8",60.1897280216217,66307,8,9
"385","i-02095124b852e65e8",60.218542098999,64818,9,9
"386","i-02095124b852e65e8",60.1650202274323,64939,9,9
"387","i-02095124b852e65e8",60.182870388031,65710,9,9
"388","i-02095124b852e65e8",60.2295005321503,64542,10,9
"389","i-02095124b852e65e8",60.1855320930481,65213,10,9
"390","i-02095124b852e65e8",60.1944618225098,65112,10,9
"391","i-02095124b852e65e8",60.2520363330841,65222,11,9
"392","i-02095124b852e65e8",60.2174727916718,64561,11,9
"393","i-02095124b852e65e8",60.191935300827,63487,11,9
"394","i-02095124b852e65e8",60.2422454357147,62965,12,9
"395","i-02095124b852e65e8",60.2144045829773,63536,12,9
"396","i-02095124b852e65e8",60.1957037448883,63809,12,9
"397","i-02095124b852e65e8",60.2381932735443,63599,13,9
"398","i-02095124b852e65e8",60.1868939399719,63751,13,9
"399","i-02095124b852e65e8",60.1838870048523,64630,13,9
"400","i-02095124b852e65e8",60.2498488426208,62481,14,9
"401","i-02095124b852e65e8",60.2059435844421,63625,14,9
"402","i-02095124b852e65e8",60.1669344902039,62882,14,9
"403","i-02095124b852e65e8",60.2387034893036,62410,15,9
"404","i-02095124b852e65e8",60.2239894866943,62271,15,9
"405","i-02095124b852e65e8",60.2368147373199,60291,15,9
"406","i-02095124b852e65e8",60.2651522159576,62665,16,9
"407","i-02095124b852e65e8",60.2401423454285,60578,16,9
"408","i-02095124b852e65e8",60.1837122440338,63072,16,9
"127","i-0af4bbaf8db090b72",60.2871563434601,64174,9,8
"128","i-0af4bbaf8db090b72",60.1774878501892,63991,9,8
"129","i-0af4bbaf8db090b72",60.1743865013123,64384,9,8
"130","i-0af4bbaf8db090b72",60.1913256645203,63738,10,8
"131","i-0af4bbaf8db090b72",60.1794738769531,64314,10,8
"132","i-0af4bbaf8db090b72",60.1734824180603,63449,10,8
"133","i-0af4bbaf8db090b72",60.1768810749054,62916,11,8
"134","i-0af4bbaf8db090b72",60.196667432785,62501,11,8
"135","i-0af4bbaf8db090b72",60.1913816928864,63766,11,8
"136","i-0af4bbaf8db090b72",60.1728782653809,62234,12,8
"137","i-0af4bbaf8db090b72",60.1827611923218,62356,12,8
"138","i-0af4bbaf8db090b72",60.1798753738403,62896,12,8
"139","i-0af4bbaf8db090b72",60.2069957256317,63568,13,8
"140","i-0af4bbaf8db090b72",60.1902260780334,63568,13,8
"141","i-0af4bbaf8db090b72",60.1828134059906,63786,13,8
"142","i-0af4bbaf8db090b72",60.2553911209106,62854,14,8
"143","i-0af4bbaf8db090b72",60.1782157421112,63028,14,8
"144","i-0af4bbaf8db090b72",60.1835072040558,62950,14,8
"145","i-0af4bbaf8db090b72",60.1838486194611,62695,15,8
"146","i-0af4bbaf8db090b72",60.1854252815247,63089,15,8
"147","i-0af4bbaf8db090b72",60.1910769939423,61896,15,8
"148","i-0af4bbaf8db090b72",60.1843981742859,62636,16,8
"149","i-0af4bbaf8db090b72",60.2365415096283,59851,16,8
"150","i-0af4bbaf8db090b72",60.1869032382965,61642,16,8
"226","i-0a84d17f3decceb44",60.3107011318207,63827,10,7
"227","i-0a84d17f3decceb44",60.1682159900665,64521,10,7
"228","i-0a84d17f3decceb44",60.1817770004272,64394,10,7
"229","i-0a84d17f3decceb44",60.2217180728912,65007,11,7
"230","i-0a84d17f3decceb44",60.2130138874054,64177,11,7
"231","i-0a84d17f3decceb44",60.2409346103668,64860,11,7
"232","i-0a84d17f3decceb44",60.2260184288025,64153,12,7
"233","i-0a84d17f3decceb44",60.1919765472412,64785,12,7
"234","i-0a84d17f3decceb44",60.1758470535278,63751,12,7
"235","i-0a84d17f3decceb44",60.2248890399933,63011,13,7
"236","i-0a84d17f3decceb44",60.176501750946,62657,13,7
"237","i-0a84d17f3decceb44",60.2022135257721,62893,13,7
"238","i-0a84d17f3decceb44",60.2458808422089,61793,14,7
"239","i-0a84d17f3decceb44",60.2035176753998,63125,14,7
"240","i-0a84d17f3decceb44",60.2369680404663,63488,14,7
"241","i-0a84d17f3decceb44",60.2356283664703,62578,15,7
"242","i-0a84d17f3decceb44",60.1963443756104,62924,15,7
"243","i-0a84d17f3decceb44",60.2280130386353,61205,15,7
"244","i-0a84d17f3decceb44",60.2622308731079,62555,16,7
"245","i-0a84d17f3decceb44",60.2025604248047,59329,16,7
"246","i-0a84d17f3decceb44",60.1885626316071,61939,16,7
"109","i-079ef574754058337",60.277446269989,65640,11,6
"110","i-079ef574754058337",60.1676740646362,66020,11,6
"111","i-079ef574754058337",60.2047085762024,64500,11,6
"112","i-079ef574754058337",60.2597591876984,64888,12,6
"113","i-079ef574754058337",60.1863143444061,65642,12,6
"114","i-079ef574754058337",60.187828540802,65004,12,6
"115","i-079ef574754058337",60.2352640628815,65069,13,6
"116","i-079ef574754058337",60.1778047084808,65413,13,6
"117","i-079ef574754058337",60.2098219394684,65065,13,6
"118","i-079ef574754058337",60.3054449558258,63401,14,6
"119","i-079ef574754058337",60.1800851821899,64393,14,6
"120","i-079ef574754058337",60.2192208766937,65183,14,6
"121","i-079ef574754058337",60.253808259964,64005,15,6
"122","i-079ef574754058337",60.1927182674408,64443,15,6
"123","i-079ef574754058337",60.1818199157715,62577,15,6
"124","i-079ef574754058337",60.2686524391174,62921,16,6
"125","i-079ef574754058337",60.2740252017975,61085,16,6
"126","i-079ef574754058337",60.2187960147858,61367,16,6
"211","i-0f4032aaef24dd285",60.3033497333527,64284,12,5
"212","i-0f4032aaef24dd285",60.2007305622101,65496,12,5
"213","i-0f4032aaef24dd285",60.2047619819641,64882,12,5
"214","i-0f4032aaef24dd285",60.221971988678,64138,13,5
"215","i-0f4032aaef24dd285",60.2244465351105,63962,13,5
"216","i-0f4032aaef24dd285",60.1878805160522,63688,13,5
"217","i-0f4032aaef24dd285",60.2659225463867,61782,14,5
"218","i-0f4032aaef24dd285",60.2238473892212,63821,14,5
"219","i-0f4032aaef24dd285",60.1945745944977,62757,14,5
"220","i-0f4032aaef24dd285",60.2786467075348,61295,15,5
"221","i-0f4032aaef24dd285",60.2651696205139,59669,15,5
"222","i-0f4032aaef24dd285",60.1958913803101,59039,15,5
"223","i-0f4032aaef24dd285",60.301276922226,60346,16,5
"224","i-0f4032aaef24dd285",60.2571573257446,57351,16,5
"225","i-0f4032aaef24dd285",60.1968486309052,60407,16,5
"151","i-09f6a2385566d793d",60.3369870185852,61188,13,4
"152","i-09f6a2385566d793d",60.2557938098907,59593,13,4
"153","i-09f6a2385566d793d",60.18581199646,59417,13,4
"154","i-09f6a2385566d793d",60.3158981800079,48771,14,4
"155","i-09f6a2385566d793d",60.2888860702515,53593,14,4
"156","i-09f6a2385566d793d",60.2149221897125,51560,14,4
"157","i-09f6a2385566d793d",60.3639297485352,51339,15,4
"158","i-09f6a2385566d793d",60.3027262687683,51031,15,4
"159","i-09f6a2385566d793d",60.2627739906311,46339,15,4
"160","i-09f6a2385566d793d",60.3157849311829,52902,16,4
"161","i-09f6a2385566d793d",60.450621843338,42481,16,4
"162","i-09f6a2385566d793d",60.313972234726,51278,16,4
"280","i-028c23d9bc98111dc",60.389146566391,47861,14,3
"281","i-028c23d9bc98111dc",60.3229875564575,51820,14,3
"282","i-028c23d9bc98111dc",60.2624022960663,49833,14,3
"283","i-028c23d9bc98111dc",60.5453653335571,50128,15,3
"284","i-028c23d9bc98111dc",60.3509910106659,49688,15,3
"285","i-028c23d9bc98111dc",60.2809932231903,44729,15,3
"286","i-028c23d9bc98111dc",60.3726029396057,50828,16,3
"287","i-028c23d9bc98111dc",60.4931571483612,41727,16,3
"288","i-028c23d9bc98111dc",60.3194906711578,49465,16,3
"331","i-003df3ac073d27e0d",60.3363091945648,61808,15,2
"332","i-003df3ac073d27e0d",60.2203779220581,61910,15,2
"333","i-003df3ac073d27e0d",60.2006051540375,61622,15,2
"334","i-003df3ac073d27e0d",60.2786746025085,61733,16,2
"335","i-003df3ac073d27e0d",60.2495062351227,58894,16,2
"336","i-003df3ac073d27e0d",60.1917629241943,60720,16,2
"328","i-0351f7b4f68690e78",60.3877537250519,62513,16,1
"329","i-0351f7b4f68690e78",60.2331852912903,60166,16,1
"330","i-0351f7b4f68690e78",60.177964925766,61777,16,1
